Pixel Value,Frequency
0,86.0
1,563.0
2,335.0
3,1503.0
4,11489.0
5,35129.0
6,48411.0
7,57057.0
8,44459.0
9,46569.0
10,43442.0
11,41061.0
12,40053.0
13,30704.0
14,27208.0
15,28404.0
16,29702.0
17,31313.0
18,29265.0
19,25835.0
20,22977.0
21,21480.0
22,20763.0
23,23026.0
24,24429.0
25,20843.0
26,16778.0
27,13244.0
28,19946.0
29,19130.0
30,18479.0
31,16035.0
32,14147.0
33,14073.0
34,14012.0
35,14815.0
36,15547.0
37,14528.0
38,13132.0
39,13350.0
40,14304.0
41,16104.0
42,16859.0
43,18083.0
44,18864.0
45,18366.0
46,18128.0
47,20221.0
48,22904.0
49,26240.0
50,26548.0
51,26183.0
52,25774.0
53,26001.0
54,27042.0
55,30598.0
56,32317.0
57,36224.0
58,34483.0
59,32883.0
60,34143.0
61,33417.0
62,33932.0
63,38740.0
64,38294.0
65,40982.0
66,39986.0
67,38850.0
68,39435.0
69,37525.0
70,37062.0
71,40821.0
72,40709.0
73,42746.0
74,41808.0
75,41003.0
76,43272.0
77,40082.0
78,39070.0
79,38585.0
80,36423.0
81,36726.0
82,36258.0
83,36603.0
84,41109.0
85,38334.0
86,38509.0
87,36925.0
88,34671.0
89,36597.0
90,32799.0
91,31036.0
92,33589.0
93,31600.0
94,32358.0
95,31403.0
96,29852.0
97,33863.0
98,30130.0
99,28786.0
100,28572.0
101,27042.0
102,27108.0
103,25031.0
104,23844.0
105,24411.0
106,22703.0
107,22163.0
108,21593.0
109,20694.0
110,21905.0
111,20017.0
112,19003.0
113,20024.0
114,18389.0
115,18571.0
116,17213.0
117,16092.0
118,17937.0
119,15219.0
120,14152.0
121,13688.0
122,11998.0
123,12969.0
124,11078.0
125,10671.0
126,11285.0
127,10115.0
128,10290.0
129,9300.0
130,8809.0
131,8694.0
132,8080.0
133,7580.0
134,7687.0
135,7357.0
136,7258.0
137,6830.0
138,6570.0
139,6235.0
140,5947.0
141,5606.0
142,5445.0
143,5437.0
144,5352.0
145,5080.0
146,4877.0
147,4789.0
148,4870.0
149,4818.0
150,4639.0
151,4355.0
152,4267.0
153,4166.0
154,4051.0
155,3984.0
156,4011.0
157,3696.0
158,3612.0
159,3510.0
160,3366.0
161,3249.0
162,3086.0
163,2992.0
164,2970.0
165,2966.0
166,2818.0
167,2698.0
168,2596.0
169,2536.0
170,2383.0
171,2124.0
172,2170.0
173,2010.0
174,1913.0
175,1881.0
176,1827.0
177,1667.0
178,1679.0
179,1609.0
180,1613.0
181,1497.0
182,1444.0
183,1321.0
184,1303.0
185,1228.0
186,1241.0
187,1240.0
188,1140.0
189,1063.0
190,1082.0
191,1014.0
192,941.0
193,994.0
194,1021.0
195,945.0
196,900.0
197,950.0
198,826.0
199,801.0
200,702.0
201,705.0
202,653.0
203,655.0
204,617.0
205,535.0
206,518.0
207,480.0
208,456.0
209,442.0
210,410.0
211,410.0
212,384.0
213,324.0
214,316.0
215,297.0
216,245.0
217,228.0
218,181.0
219,180.0
220,151.0
221,118.0
222,107.0
223,111.0
224,78.0
225,72.0
226,63.0
227,61.0
228,65.0
229,52.0
230,44.0
231,48.0
232,28.0
233,16.0
234,12.0
235,1.0
236,1.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
